"role_id","role_title","sector","proposed_soc_code","matched_ashe_description","confidence","reason"
"42115a8f-e7ab-4c78-b802-c9d676b82a0e","Retail Manager","Retail & Customer Service","1150","Managers and directors in retail and wholesale","high","Near-exact match: retail manager maps directly to SOC description"
"24c53f98-8be2-40bc-be55-b488e4764105","Shop Assistant / Sales Associate","Retail & Customer Service","7111","Sales and retail assistants","high","Near-exact match: shop assistant / sales associate maps directly to sales and retail assistants"
"e98ea33e-ddc9-49b3-b9e3-891829d3d994","Supply Chain Coordinator","Retail & Customer Service","1243","Managers in logistics","medium","Semantic match: supply chain coordination with strategic oversight is logistics management"
"48987f33-bfd2-400e-9c33-4970d7902746","Visual Merchandiser","Retail & Customer Service","7125","Visual merchandisers and related occupations","high","Near-exact match: SOC description explicitly includes visual merchandisers"
"0cbac2ba-b43e-434a-b325-55e15d1b9487","AI Drug Discovery Scientist","Science & Research","2113","Biochemists and biomedical scientists","medium","Semantic match: AI-driven drug discovery and molecule design is biomedical science"
"ad6a4779-f954-4f0f-ad4e-277797d38800","AI Safety Researcher (Scientific)","Science & Research","2162","Other researchers, unspecified discipline","medium","Semantic match: researching AI safety in scientific contexts is a research role; shares SOC with other researchers"
"483ab5c8-1865-485b-81e8-1d52d6fe70e5","Bioinformatics Specialist","Science & Research","2113","Biochemists and biomedical scientists","medium","Semantic match: bioinformatics combines biology and computing for drug discovery; applied biomedical science"
"fc4b5e5e-38a8-4e1a-858d-f0c81585d8bc","Clinical Researcher","Science & Research","2162","Other researchers, unspecified discipline","medium","Semantic match: clinical research with trial data and patient matching; shares SOC with other researchers"
"2359916e-a323-4904-88c0-9443cf8d62da","Computational Scientist","Science & Research","2114","Physical scientists","medium","Semantic match: HPC and AI applied to scientific problems; physical science is closest discipline"
"f49a9cdc-9123-410d-83b8-aa799fa393a0","Data Scientist","Science & Research","2433","Actuaries, economists and statisticians","medium","SOC 2020 2433 is the ONS-designated unit group for data scientists. Shares SOC with actuaries, economists and statisticians."
"1a595140-0511-4443-9998-8be91b3cd02b","Environmental Scientist","Science & Research","2152","Environment professionals","medium","Semantic match: environmental monitoring and climate modelling is environment professional work"
"b01bbc32-43ce-4d0e-bfae-82ae2fa7e273","Lab Technician","Science & Research","3111","Laboratory technicians","high","Exact title match"
"875c120d-4fd6-4895-b54b-9b8cf4cc71da","Laboratory Automation Specialist","Science & Research","2129","Engineering professionals n.e.c.","medium","Semantic match: designing automated lab workflows is engineering not elsewhere classified"
"701f27eb-f965-44df-b7b7-e38db56564a6","Research Scientist","Science & Research","2162","Other researchers, unspecified discipline","medium","Semantic match: general research role; shares SOC with other research roles across sectors"
"4b17417a-150d-47a4-9aca-71726f8915d9","Robotics Integration Engineer","Science & Research","2129","Engineering professionals n.e.c.","medium","Semantic match: integrating robotic hardware with AI is engineering n.e.c.; shares SOC with other engineering roles"
"e7a5e66a-0bba-4d97-a761-4efc3e07c65d","Addiction Counsellor","Social Work & Community","3224","Counsellors","high","Near-exact match: addiction counsellor is a counsellor"
"d588f5fe-41fc-4881-9b79-962290ed0666","Charity Manager","Social Work & Community","1135","Charitable organisation managers and directors","high","Near-exact match: charity manager maps directly to charitable organisation managers"
"8a47f2a9-2511-45aa-8a3b-059ee666157e","Community Development Worker","Social Work & Community","3221","Youth and community workers","high","Near-exact match: SOC description explicitly includes community workers"
"d28cc237-cdd3-42c9-91d8-7d6990351e1e","Digital Inclusion Worker","Social Work & Community","3229","Welfare and housing associate professionals n.e.c.","medium","Semantic match: bridging the digital divide for vulnerable groups is a welfare associate function"
"315bd11a-7122-4d12-9cbc-7d78c9b736c1","Family Support Worker","Social Work & Community","3229","Welfare and housing associate professionals n.e.c.","medium","Semantic match: direct family support work is a welfare associate function"
"812b84df-c72c-4e88-9d95-f21e75ea83f6","Homelessness Support Worker","Social Work & Community","3229","Welfare and housing associate professionals n.e.c.","medium","Semantic match: homelessness outreach and housing advice is welfare/housing associate work"
"2227610c-d32d-4eae-b0a5-2d733e43fb6b","Mental Health Support Worker","Social Work & Community","3229","Welfare and housing associate professionals n.e.c.","medium","Semantic match: direct mental health support and de-escalation is a welfare associate function"
"d3a0972d-ee95-44e1-bb5a-069b2762807f","Social Services Data Analyst","Social Work & Community","3544","Data analysts","medium","Semantic match: data analysis applied to social services; shares SOC with other analyst roles"
"9428b809-d630-4ecf-841a-29080bbda1fb","Social Worker","Social Work & Community","2461","Social workers","high","Exact title match"
"eb13fc72-2961-4e36-ad41-e6f16290a397","Youth Worker","Social Work & Community","3221","Youth and community workers","high","Near-exact match: SOC description explicitly includes youth workers (at associate professional level)"
"55b08868-564e-40b2-bedf-279d3c6e9028","AI-Enhanced Performance Coach","Sport & Fitness","3432","Sports coaches, instructors and officials","medium","Semantic match: performance coaching with AI tools is fundamentally sports coaching"
"05c2c546-5e26-41ee-a621-b3bc0ea1d657","Digital Fitness Content Creator","Sport & Fitness","3433","Fitness and wellbeing instructors","low","Closest SOC: creating fitness content for digital platforms is adjacent to fitness instruction"
"bdcb58b1-7d9d-46c1-9a7c-378a4c3358a4","E-sports / Gaming Coach","Sport & Fitness","3432","Sports coaches, instructors and officials","low","Closest SOC: e-sports coaching mapped to traditional sports coaching; emerging field without own SOC code"
"36cce48f-315a-4e2d-b86b-ce332c4267e2","Fitness Instructor / Personal Trainer","Sport & Fitness","3433","Fitness and wellbeing instructors","high","Near-exact match: fitness instructor directly in SOC description"
"d6af9b1a-c21b-42e7-8c27-277b9e1399b1","Leisure Centre Manager","Sport & Fitness","1224","Leisure and sports managers","high","Near-exact match: leisure centre manager maps directly to leisure and sports managers"
"37ebcde8-b721-40f2-9298-3cebc46a1389","Outdoor Activities Instructor","Sport & Fitness","3432","Sports coaches, instructors and officials","medium","Semantic match: outdoor instruction is a form of sports coaching/instruction"
"03b64e4e-df23-4c2a-b42e-505afdd4f697","PE Teacher","Sport & Fitness","2313","Secondary education teaching professionals","medium","Semantic match: PE teacher is a secondary education teaching professional; classified by teaching function not sport"
"0e034ee9-baa0-48f3-ae0e-6e3472581adb","Sports Coach","Sport & Fitness","3432","Sports coaches, instructors and officials","high","Near-exact match: SOC description explicitly includes sports coaches"
"2dd98b59-0f78-433c-aeb8-b11bc1b31562","Sports Data Analyst","Sport & Fitness","3544","Data analysts","medium","Semantic match: performance and tactical data analysis; shares SOC with other analyst roles"
"b6c398ad-08e4-42a5-870b-a1251ebcfce6","Sports Therapist","Sport & Fitness","2229","Therapy professionals n.e.c.","medium","Semantic match: sports therapy is a therapy profession not elsewhere classified"
"cebe2235-5dae-4c9c-aeb8-9592b028c94f","Wearable Technology Specialist","Sport & Fitness","3549","Business associate professionals n.e.c.","low","Closest SOC: advising on AI-enabled wearables is a niche business/tech advisory role"
"3673999b-8ea9-4b21-afd2-e259c77ca93a","AI Logistics Analyst","Transport & Logistics","3544","Data analysts","medium","Semantic match: AI routing and scheduling optimisation is data analysis; shares SOC with other analyst roles"
"c7428ccd-e944-4a36-819e-3f12cf110d04","AV Fleet Operations Manager","Transport & Logistics","1241","Managers in transport and distribution","medium","Semantic match: managing autonomous vehicle fleets is transport management"
"68b699de-7aa2-43d4-a056-92512932a833","Delivery Driver","Transport & Logistics","8214","Delivery drivers and couriers","high","Near-exact match: delivery driver directly in SOC description"
"ee67c3eb-d32a-4cfd-91ba-cee30c8cac13","Digital Supply Chain Manager","Transport & Logistics","1243","Managers in logistics","medium","Semantic match: AI-enabled end-to-end supply chain management is logistics management"
"cab71f32-1729-4d37-be56-37eb0188e68e","Drone Delivery Operator","Transport & Logistics","8214","Delivery drivers and couriers","low","Closest SOC: drone delivery is a novel delivery method; delivery drivers/couriers is nearest"
"7c1c4e72-17ea-4707-90d1-33707e781841","EV / AV Maintenance Technician","Transport & Logistics","5231","Vehicle technicians, mechanics and electricians","medium","Semantic match: maintaining EVs/AVs is vehicle technician work with new specialisms"
"d606e62a-ac04-420d-9389-5214d6c188eb","HGV Driver","Transport & Logistics","8211","Large goods vehicle drivers","high","Near-exact match: HGV = Large goods vehicle"
"3fe9b56f-f624-407d-8910-91eb5c6878e4","Logistics Coordinator","Transport & Logistics","1243","Managers in logistics","medium","Semantic match: logistics coordination with strategic oversight; shares SOC with Digital Supply Chain Manager"
"5bc5fe79-ee7e-4797-92dd-61284926341e","Remote Vehicle Operator","Transport & Logistics","8239","Other drivers and transport operatives n.e.c.","low","Closest SOC: remotely supervising autonomous vehicles is a novel transport operative role"
"442d468d-1f78-4124-a5b0-5ab10daf8af1","Traffic Planner","Transport & Logistics","2121","Civil engineers","medium","Corrected: traffic planning is a civil engineering function (road design, transport modelling). SOC 2452 is architectural/town planning — too broad."
"29bfa139-f12f-40c4-a788-5e09259931e6","Train Driver","Transport & Logistics","8231","Train and tram drivers","high","Near-exact match: train driver directly in SOC description"
"7d78a078-86e2-46d0-adfb-32e95058bb07","Warehouse Automation / Robotics Engineer","Transport & Logistics","2129","Engineering professionals n.e.c.","medium","Semantic match: designing robotic warehouse systems is engineering n.e.c."
"fc77f34e-72fe-4e37-9078-6557cc4991c1","Warehouse Operative","Transport & Logistics","9252","Warehouse operatives","high","Exact title match"
